content,sender,words
#世界地球日# 绿色低碳，在如今的新冠疫情面前显得多么幼稚，人类面临的问题实在太多了，不能只做表面文章,普通用户,世界 地球日 绿色 显得 幼稚 人类 面临 实在 表面文章
《侵权责任法》第五十七条 ：医务人员在诊疗活动中未尽到与当时的医疗水平相应的诊疗义务，造成患者损害的，医疗机构应当承担赔偿责任。（注意：当前，在更好的办法出来之前，如果不推荐新冠病人用中药、不请中医会诊新冠病人是违法行为）拒绝中药，已涉嫌违法。用不用中药不是学术问题，是法律问题。都说“医者仁心”，一些西医为了利益已经毫无人性让人在家等死，一直在增加感染人数，是时候用法律来捍卫中医了，不起诉那些利益集团，他们是不会让步的,普通用户,侵权 责任法 医务人员 诊疗 活动 医疗 水平 诊疗 义务 损害 医疗机构 承担 赔偿 责任 办法 推荐 病人 中药 会诊 病人 拒绝 中药 涉嫌 违法 不用 中药 学术 法律 医者 仁心 西医 利益 人性 增加 感染人数 法律 捍卫 起诉 利益集团 让步
#巴西总统新冠病毒检测阳性##特朗普# 我有一个很离谱的猜想，那么多跟他有关的人确诊，所以特朗普该不会是个无症状的毒王，巴西总统就是他传染的吧。。。,普通用户,巴西 总统 检测 阳性 特朗普 离谱 猜想 特朗普 无症状 毒王 巴西 总统 传染
【防治科普】孩子发烧咳嗽是不是新型肺炎？一招教你辨别！http://t.cn/A67VDUkr,普通用户,防治 科普 孩子 发烧 咳嗽 辨别
中国发布新冠肺炎疫情信息、推进疫情防控国际合作纪事 中国发布新冠肺炎疫情信息、推进疫情防控国际合作纪事,普通用户,发布 信息 推进 疫情防控 国际 合作 纪事 发布 信息 推进 疫情防控 国际 合作 纪事
论板鸭人的#奇葩##抗疫#  近日#西班牙# 开始部分非必要行业#复工# ，一些憋坏了的西班牙人觉得总算可以松口气了，赶紧跑出门#嗨# high，仅一天就有89人因此被捕，其中有50个人来自于一个32平方米的#斗鸡# 场，据说事发时这群人正在欢乐聚众斗鸡。。。  #西班牙语##抗疫行动##新冠肺炎##西语##conversa##奇葩##警察##歪果仁##马德里#   @西班牙欧华报 @西班牙留学 @沪江西语 @西班牙语新闻 @北京塞万提斯学院 @西班牙国家旅游局,普通用户,板鸭 奇葩 抗疫 西班牙 行业 复工 西班牙人 总算 松口气 出门 被捕 斗鸡 事发 欢乐 聚众 斗鸡 西班牙语 抗疫 西语 奇葩 警察 果仁 马德里 西班牙 欧华 西班牙 留学 江西 西班牙语 新闻 北京 塞万提斯 学院 西班牙 国家旅游局
今日好消息，我转运的一个新冠肺病人康复出院啦！虽然那天忘记跟她说早日康复但是也很快康复了！开心[喵喵],普通用户,好消息 转运 肺病 康复 出院 忘记 康复 开心
巴掌大的🍓[污]#新型冠状病毒#预防中药，庆祝陕西省首批防治新冠肺炎中药制剂申办成功🎉 西安 显示地图,普通用户,巴掌 新型 预防 中药 庆祝 陕西省 首批 防治 药制剂 申办 成功 西安
#为什么还不能预判疫情拐点# 湖北新冠肺炎疫情： 2月6日19665例，一周前 1月30日4586例，一周前 1月23日444例  现在，湖北之外有六个省超过500例了，两周之后，会是什么情况？  如果部分人认为疫情开始出现拐点，可能是猛增的湖北疫情淡化了其他各地的严重性。,普通用户,预判 拐点 湖北 湖北 超过 情况 拐点 猛增 湖北 淡化 严重性
新冠过后，毫无疑问，中国绿卡将成为最值钱的绿卡之一，将成为全世界投资和消费的热点地区，中国经济经过这一场战役后将迎来新的巨大机遇！,普通用户,绿卡 值钱 绿卡 全世界 投资 消费 热点 地区 经济 战役 迎来 机遇
张文宏：企业老板不用捐东西，给隔离员工开工资就是贡献。 每个人做好自己的工作，管好自己，就是在做贡献，社会中每个人都在做贡献，请大家管好自己的一亩三分地。6日，上海华山医院感染科主任张文宏表示，新冠肺炎疫情期间，不需要企业再向医院捐献物资了，他希望企业老板，给那些在复工期间在家中隔离或者工作的员工，正常发放工资。他还表示，如果每个返沪的人员能够做到自行隔离14天，不到处乱走还，有信心管控。#企业老板隔离员工发工资就是贡献# http://t.cn/A6P3Kqz0,普通用户,张文宏 企业 老板 不用 东西 隔离 员工 工资 贡献 做好 工作 管好 贡献 社会 贡献 管好 上海华山医院 科主任 张文宏 企业 医院 捐献 物资 希望 企业 老板 复工 隔离 工作 员工 发放 工资 人员 隔离14天 信心 管控 企业 老板 隔离 员工 贡献
正确！ 钟南山谈新冠肺炎疫情峰值在二月中下旬，你们那里现在实现双清零了吗?,普通用户,正确 钟南山 峰值
新冠肺炎ICU患者费用曝光：假如没有国家免费治疗，多少家庭会倾家荡产？  http://t.cn/A6zOjsCv  （使用@美篇 App创作）,普通用户,费用 曝光 国家 免费 治疗 家庭 创作
算了算了，死者为大，也不说他们可不可恨了 华南海鲜市场存在大量新冠病毒，你觉得买家和卖家哪个更可恨？,普通用户,死者 可恨 华南海鲜市场 买家 卖家 可恨
#暴发户[超话]#致敬抗击新冠疫情的英烈和逝世的同胞，愿逝者安息，一路走好！🙏🙏🙏【7】,普通用户,暴发户 超话 致敬 抗击 英烈 逝世 同胞 逝者 安息
今天早上梦到和特朗普谈话，然后我回去之后咳嗽了我还怀疑是特朗普把新冠肺炎传染给我了 现在下午3点了，虽然睡了个午觉还是很困很困，做数据感觉要做睡着了，都怪特朗普55555,普通用户,梦到 特朗普 谈话 回去 咳嗽 怀疑 特朗普 传染给 午觉 很困 很困 数据 感觉 睡着 特朗普
#抗击新型肺炎我们在行动#为郑州市和二七区的工作打call，虽然逐个排查不轻松，但是高效。我们一定可以战胜病毒，加油！ 新乡·延津县 显示地图,普通用户,抗击 郑州市 二七区 工作 排查 轻松 高效 战胜 病毒 加油 新乡 延津县
看一次新闻揪一次心，武汉的新冠肺炎影响到太多无辜的人了，这个时候网上还有很多那些散播谣言制造话题的人，还有很多不够重视疫情的人！今天出门超市买东西，看见一个大爷戴着N95的口罩，我戴着一般的医用口罩，甚至有点羡慕这个大爷，现在根本买不到N95,普通用户,新闻 武汉 影响 无辜 制造 话题 重视 出门 超市 东西 大爷 口罩 医用 口罩 羡慕 大爷 买不到
房东太太好可爱[太阳]，傍晚她下来时拿了一本中国菜谱给我，并问认真地说：“子彤，我有一个问题，怎么改Whatsapp里的联系人备注呢？现在你在我这里是一串电话号码😳”   我问房东太太，你害怕新冠病毒吗？她说不怕！可能要花几个星期，但是我们可以战胜它！（不过她们认为病毒并不会通过空气传染，只是接触传染，所以并不戴口罩[微笑]）  临走前给了房东太太盛了一个茶叶蛋，希望大家都能平安，真的能够早日战胜病毒,普通用户,房东太太 可爱 太阳 菜谱 子彤 联系人 备注 电话号码 房东太太 害怕 战胜 病毒 空气 传染 戴口罩 微笑 房东太太 茶叶蛋 希望 平安 战胜 病毒
阳春三月，江南风手绘墙这里显的格外的舒服！#手绘##抗击新型肺炎我们在行动##墙绘# 苏州墙绘-美之忆墙绘的微博视频,普通用户,阳春 江南 手绘 舒服 手绘 抗击 墙绘 苏州 墙绘 美之忆 墙绘
苟利国家生死以，岂因祸福避趋之 深切哀悼在新冠疫情斗争中牺牲的烈士和同胞，像你们致敬！ 愿逝者安息，愿生者奋发， 愿祖国昌盛，致敬抗疫英雄🕯,普通用户,岂因祸福避趋之 深切 哀悼 斗争 牺牲 烈士 同胞 致敬 逝者 安息 生者 奋发 祖国 昌盛 致敬 抗疫 英雄
美国舆论：世卫组织、中国都是特朗普找的替罪羊 #海峡新干线 #新冠肺炎#记录世界 记录你##新型冠状病毒# 海峡新干线的快手视频,普通用户,舆论 世卫 组织 特朗普 替罪羊 海峡 新干线 记录 世界 记录 新型 海峡 新干线
全国新型肺炎疫情实时动态 - 丁香园·丁香医生 http://t.cn/A6vBv3yL,普通用户,全国 动态 丁香 丁香 医生
本来计划今年4月份去带爸爸妈妈去看樱花的，当然因为新冠疫情不能成行。其实我记得我第1次出国旅游的时候是到美国。印象给我非常深刻的，是每天到了下午五点多钟，所有的超市就关门了。当时我在想他们为什么这么懒？如果是中国人只要有钱赚，肯定是24小时营业。但是为什么他们这么懒却创造了接近全世界40%的GDP，他们懒但是他们富裕，这是为什么？第2个印象很深的，是飞往洛杉矶的航班，因为在国内的航班看惯了美女帅哥突然发现不但是大妈还身材不好，我用手机去拍照。有人微笑的对我说，stop.后来我才知道，这样对着别人拍照是很不礼貌的行为。在美国空姐就是一个职业，可以从年轻一直干到退休，如果真正有危机的情况，他们的经验非常的丰富，因为他们飞了20年30年，我也想想真的到关键时刻是漂亮更好还是实战的好。我也相信，我们总有一天，我们会有工作也会有生活，我们也会有一天尊重所有的职业。尊重所有漂亮和不不漂亮的所有的人群，我们还在努力当中。 http://t.cn/8sp0fcs显示地图,普通用户,计划 月份 爸爸妈妈 樱花 成行 记得 出国 旅游 印象 超市 关门 有钱赚 肯定 小时 营业 创造 接近 全世界 富裕 印象 飞往 洛杉矶 航班 航班 看惯 美女 帅哥 发现 大妈 身材 手机 拍照 微笑 拍照 礼貌 空姐 职业 年轻 干到 退休 危机 情况 经验 想想 关键时刻 漂亮 实战 工作 生活 尊重 职业 尊重 漂亮 漂亮 人群 努力
#意大利新冠肺炎疫区#“除非确诊或者接触病患，否则不需要戴口罩”，“现在情况并不危险”，“唯一有效的防疫措施是隔离从中国来的人” 意大利·罗马 显示地图,普通用户,意大利 疫区 接触 病患 戴口罩 情况 危险 防疫 措施 隔离 意大利 罗马
#汤姆汉克斯夫妇感染新冠肺炎#我朝四周看了看，见一个人影也[吃惊]没有，就溜进老师的办公室，拉开老师的抽屉，拿起“小红花印”，在我的本子上一连印了四朵小红花。,普通用户,汤姆 汉克斯 夫妇 人影 吃惊 溜进 老师 办公室 拉开 老师 抽屉 小红花 本子 小红花
世卫组织：全球新增85054例新冠肺炎确诊病例 累计超152万  根据世卫组织最新统计数据显示，目前全球确诊新冠肺炎1521252例，死亡92798例，欧洲区域达到799696例，中国以外超过143万例。,普通用户,世卫 组织 全球 新增 累计 世卫 组织 统计数据 全球确诊 死亡 欧洲 区域 超过
#澳大利亚内政部长确诊感染新冠肺炎# 就是吧， 虽然我在回不去奥克兰这个问题上已经释然 但是澳洲出这么个事，内心没什么想法就是想笑（不要骂我,普通用户,澳大利亚 内政部长 回不去 奥克兰 澳洲 内心 想法
『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL,普通用户,全国 动态 丁香 丁香 医生
我妈最近买了那个预防新冠的中药 emmmmm中药也就那味吧，苦不旯唧的 没人的时候：我咬紧后槽牙就给灌了 有人的时候：好苦不想喝，喝不下，想吐 [费解][费解][费解],普通用户,预防 中药 中药 不旯 没人 咬紧 槽牙 不想 想吐 费解 费解 费解
我分享了文章 美国版新冠治疗指南来了，与我国指南有何不同？,普通用户,分享 美国版 治疗 指南 指南
WHO expert says COVID-19 outbreak potentially stabilizing in http://t.cn/A6ZXDwTB @中国日报,普通用户,中国日报
全国本土疫情传播已基本阻断 湖北新冠肺炎患者治愈率超过93% 全国本土疫情传播已基本阻断 湖北新冠肺炎患者治愈率超过93%,普通用户,全国 本土 传播 阻断 湖北 超过 全国 本土 传播 阻断 湖北 超过
"【权威发布】湖北省卫健委通报：新型肺炎湖北新增确诊371例,死亡24例,出院2例 【权威发布】湖北省卫健委通报：新型肺炎湖北新增确诊371例,死亡24例,出院2例",普通用户,权威 发布 湖北省 卫健委 通报 湖北 新增确诊 死亡 出院 权威 发布 湖北省 卫健委 通报 湖北 新增确诊 死亡 出院
『新型肺炎确诊患者相同行程查询 V1.2』http://t.cn/A6PJPXsh,普通用户,行程 查询
【转存！全国#新冠肺炎疑似或确诊孕产妇定点医院#名单】昨天，国家卫健委公布全国新型冠状病毒感染疑似或确诊孕产妇产检和住院分娩定点医院名单 (截至2020年2月11日) ，来看↓,普通用户,转存 全国 疑似 孕产妇 定点医院 名单 国家卫健委 公布 全国 病毒感染 疑似 孕产妇 住院 分娩 定点医院 名单
【#提问#】据报道，#特朗普要在3至4个月内重启美国#，他声称，“国家不是为了停工而建立的”。那么，你认为，彻底消除疫情带来的不便和恐惧、恢复正常生活秩序，最关键的是什么？#微博问答##关注新冠肺炎# 若想彻底消除疫情带来的不便和恐惧，最关键的是什么？,普通用户,提问 报道 特朗普 重启 声称 国家 停工 建立 带来 恐惧 生活 秩序 关键 问答 关注 若想 带来 恐惧 关键
【火化场员工累到午睡，被同事当做尸体火化】美国纽约一家殡葬公司的员工麦克琼斯，因为连续工作16小时搬运新冠肺炎死者遗体而累坏了， 躺下来午睡小休一下。 不料他的同事居然没看清楚， 误会他是尸体， 竟然拿去火化场火化了， 结果造成麦克琼斯活活被烧死。  麦克琼斯的同事贞娜说， 在焚化炉关门准备“烧尸”火化程序时， 他听见麦克琼斯尖叫15秒。  警方已针对此事展开调查， 不排除对这名糊涂的新进员工援引刑事罪起诉。他可能被控疏忽致死罪。,普通用户,火化场 员工 累到 午睡 同事 当做 尸体 火化 美国纽约 殡葬 公司 员工 麦克 琼斯 连续 工作 小时 搬运 死者 遗体 累坏 躺下来 午睡 小休 同事 误会 尸体 火化场 火化 麦克 琼斯 活活 烧死 麦克 琼斯 同事 焚化炉 关门 烧尸 火化 程序 听见 麦克 琼斯 尖叫 警方 展开 调查 排除 糊涂 员工 援引 起诉 被控 疏忽 致死
2020.2.29。随着新冠减轻，逍遥日子也快过去了，希望少想一点对得起自己吧,普通用户,减轻 逍遥 日子 希望 对得起
陈情令花絮！都说蓝湛深情，[飞机][飞机][飞机]阿曼首次确诊两例新冠肺炎感染者却不知那位不受约束的少年郎为他甘愿呆在三千家规的地方肖战王一博 t.cn/A6hrcCS2,普通用户,情令 花絮 蓝湛 深情 飞机 飞机 飞机 阿曼 感染者 不知 受约束 少年郎 甘愿 家规 地方 肖战 王一博
#特朗普第二次新冠检测呈阴性#好人不长命,普通用户,特朗普 检测 阴性 好人 长命
#我不是药神[电影]##口罩##新冠肺炎##疫情# 喵喵小熊的微博视频,普通用户,药神 电影 口罩 小熊
意大利新冠疫情持续加重，两千五百多例了。闭关一周后，今天和朋友全副武装出门去超市补货。出门后，令我感到魔幻的是，门外的世界一切如常，街上基本没有意大利人戴口罩。人们淡定的走在街上，街心公园里有母亲推着小孩在晒太阳，还有人在遛狗，bar的门口有老人拄着拐在三两聚一块聊天。仿佛全副武装的我真的是在小题大做。从超市出来的时候，有意大利面孔的人开着车，里边坐着三四个看起来四十多的人，看到戴口罩的我和朋友，开始故意发出咳嗽和呕吐的声音嘲笑我们。那一刻我真的愤怒，一半源于被羞辱，另一半也真的为他们的无知和愚蠢而感到震惊。那一刻我真是觉得难以置信，意大利是个发达国家，但是面对自己日益严重的疫情，有的人真的宛如脑子被病毒腐蚀过的智障，自己不知道戴口罩防护就算了，竟然还要嘲笑别人做出的防护举措。所以很快这种愤怒被一种发自内心的觉得可笑取代了，毕竟谁要去跟傻子置气较真，才是真傻。[摊手][摊手] http://t.cn/RU1Utk9显示地图,普通用户,意大利 持续 加重 闭关 朋友 全副武装 出门 超市 补货 出门 感到 魔幻 世界 意大利人 戴口罩 淡定 街心公园 母亲 小孩 晒太阳 遛狗 老人 拄着 聊天 全副武装 超市 意大利 面孔 戴口罩 朋友 发出 咳嗽 呕吐 声音 嘲笑 愤怒 源于 羞辱 无知 愚蠢 感到 震惊 意大利 面对 宛如 脑子 病毒 腐蚀 智障 戴口罩 防护 嘲笑 做出 防护 举措 愤怒 可笑 取代 傻子 置气 较真 真傻 摊手 摊手
#关于新冠肺炎的30个真相#父爱其实很简单。它像白酒，辛辣而热烈，让人醉在其中；它像咖啡，苦涩而醇香，容易让人为之振奋；它像茶，平淡而亲切，让人自然清新；它[花心]像篝火，给人温暖去却令人生畏，容易让人激奋自我。,普通用户,父爱 简单 白酒 热烈 咖啡 苦涩 醇香 人为 振奋 平淡 亲切 清新 花心 篝火 温暖 激奋
#新型肺炎确诊440例死亡9例# 口罩产区是湖北怎么办？,普通用户,死亡 口罩 产区 湖北
广大网民坐等事态继续发展🙊#特朗普坚称自己不需要检测##巴西总统新冠病毒检测阳性#,普通用户,网民 坐等 事态 发展 特朗普 坚称 检测 巴西 总统 检测 阳性
天气越来越暖和了，[并不简单][并不简单]普京穿防护服看望新冠肺炎患者不想吃热菜？那就来一份水果果冻解解腻吧[色]鲜城 微博美食 一人食吃播宅家美食pk赛 t.cn/A6zQvhcw,普通用户,天气 暖和 简单 简单 普京 防护服 看望 不想 热菜 水果 果冻 解解 鲜城 美食 人食 吃播 宅家 美食
万事开头难 这个2020年的开头 也太他妈难了吧！！！#全国确诊新型肺炎病例##科比布莱恩特去世# [淚][淚][淚],普通用户,开头 全国 布莱恩特 去世
主席金句 这次新冠肺炎疫情来势凶猛，中国必须迎难而上，勇敢应对，因为这不仅关乎中国人民生命安全和身体健康，还关乎全世界公共卫生安全。经过艰苦努力，当前中国国内疫情防控形势持续向好，生产生活秩序加快恢复。我们有信心、有能力、有把握赢得疫情防控战的最终胜利。中方愿同包括俄罗斯在内的各国一道，基于人类命运共同体理念，加强国际防疫合作，开展防控和救治经验分享，推动联合科研攻关，携手应对共同威胁和挑战，维护全球公共卫生安全。 http://t.cn/Rxe4ivo显示地图,普通用户,主席 金句 勇敢 应对 关乎 人民 生命安全 关乎 全世界 公共卫生 艰苦 努力 疫情防控 形势 持续 生产 生活 秩序 加快 恢复 信心 能力 赢得 疫情防控 胜利 愿同 包括 俄罗斯 人类 命运 共同体 理念 国际 防疫 合作 防控 救治 经验 分享 推动 联合 科研 攻关 携手 应对 威胁 挑战 维护 全球 公共卫生
